GT	Prediction	PostProcessedPrediction	Probability	WRR_Correct	Post_WRR_Correct
పెద్దనగారు	పెద్దనగారు	పెద్దనగారు	0.966158	1	1
ప్రొఫెసర్	ప్రొఫెసర్	ప్రొఫెసర్	0.925278	1	1
మే	మే	మే	0.966886	1	1
నిలబడి	నిలబడి	నిలబడి	0.999485	1	1
అన్న	అస్న	అన్న	0.893598	0	1
యింకొక	యింకొక	యింకొక	0.992546	1	1
సుమారు	సుమారు	సుమారు	0.988822	1	1
నిష్క	నిమర్ా	విమర్శ	0.800825	0	0
మేమియు	మేమియు	మేమియు	0.998233	1	1
స్వరూపం	స్వరూపం	స్వరూపం	0.983887	1	1
ఆబాలునికి	ఆబాలునికి	ఆబాలునికి	0.991883	1	1
ప్రత్యయం	ప్రత్యయం	ప్రత్యయం	0.997000	1	1
పేరు	పేరు	పేరు	0.931215	1	1
మనస్సులో	మనస్సులో	మనస్సులో	0.979960	1	1
పరిస్థితులలో	పరిస్థితులలో	పరిస్థితులలో	0.882894	1	1
మళ్లీ	మళ్లీ	మళ్లీ	0.999428	1	1
జరిగాక	జరిగాక	జరిగాక	0.999731	1	1
అను	అను	అను	0.996327	1	1
తెనాలి	తెనాలి	తెనాలి	0.971003	1	1
దాని	దాని	దాని	0.999655	1	1
నువ్వు	నువ్వు	నువ్వు	0.941986	1	1
మాత్రము	మాత్రము	మాత్రము	0.990107	1	1
దీని	దీని	దీని	0.999125	1	1
అలాగే	అలాగే	అలాగే	0.999598	1	1
చామంతులు	చామంతులు	చామంతులు	0.955421	1	1
కాలమున	కాలమున	కాలమున	0.947669	1	1
సహజముగ	సహజమగ	సహజమగ	0.998064	0	0
చూచుచుండగా	చూచుచుండగా	చూచుచుండగా	0.983232	1	1
వానిలో	వానిలో	వానిలో	0.938753	1	1
యెట్లు	యెట్లు	యెట్లు	0.978796	1	1
కేసి	కేసి	కేసి	0.999301	1	1
కూర్చుండ	కూర్చుండ	కూర్చుండ	0.956192	1	1
అంటే	అంటే	అంటే	0.994428	1	1
కాలు	కాలు	కాలు	0.985787	1	1
తమ	తమ	తమ	0.981363	1	1
తప్ప	తప్ప	తప్ప	0.999924	1	1
పరమ	పరమ	పరమ	0.999540	1	1
రాజ్య	రాజ్య	రాజ్య	0.987142	1	1
ఉలా	ఉాలా	ఉాలా	0.973510	0	0
ఆయువు	ఆయువు	ఆయువు	0.955392	1	1
అయినటువంటి	అయినటువంటి	అయినటువంటి	0.999540	1	1
అంతట	అంతట	అంతట	0.950549	1	1
నెల్లూరు	నెల్లూర్తు	నెల్లూర్తు	0.985783	0	0
యోగము	యోగము	యోగము	0.965801	1	1
కాళహస్తీశ్వర	కాళహస్తీశ్వర	కాళహస్తీశ్వర	0.999384	1	1
ఫ్యాక్టరీని	ఫ్యాట్టరీని	ఫ్యాక్టరీని	0.854828	0	1
కాల	కాల	కాల	0.999644	1	1
పేరుగాని	పేరుగాని	పేరుగాని	0.956960	1	1
అతడు	ఆతదు	ఆగదు	0.803578	0	0
వంటి	వంటి	వంటి	0.999213	1	1
ఊపిరి	ఊపిరి	ఊపిరి	0.971622	1	1
దీనిమీద	దీనిమీద	దీనిమీద	0.999470	1	1
తెలుగులో	తెలుగులో	తెలుగులో	0.966439	1	1
వస్తే	వస్తే	వస్తే	0.999269	1	1
పాలించిన	ప్రాలించిన	ప్రకటించిన	0.947246	0	0
అంటే	అంటే	అంటే	0.998986	1	1
అంటే	అంటే	అంటే	0.995113	1	1
నీ	నీ	నీ	0.998181	1	1
చేసుకుంటూ	చేసుకుంటూ	చేసుకుంటూ	0.996772	1	1
వస్తాడు	వస్తాడు	వస్తాడు	0.988818	1	1
కాఫీ	కాఫీ	కాఫీ	0.991560	1	1
పరుగులు	పరుగులు	పరుగులు	0.995958	1	1
కాలానికి	కాలానికి	కాలానికి	0.996870	1	1
పిల్లలకు	పిల్లలకు	పిల్లలకు	0.991263	1	1
రాయలు	రాయలు	రాయలు	0.983250	1	1
చోటికి	చోటికి	చోటికి	0.993467	1	1
చేయక	చేయక	చేయక	0.999615	1	1
నే	నే	నే	0.942838	1	1
ఇక్కడ	ఇకండు	కండు	0.829208	0	0
తల్లిలో	తల్లిలో	తల్లిలో	0.978961	1	1
మిక్కిలి	మిక్కిలి	మిక్కిలి	0.955271	1	1
స్వరూప	స్వరూప	స్వరూప	0.986817	1	1
అర్థం	అర్థం	అర్థం	0.984387	1	1
అంతట	అంతట	అంతట	0.999002	1	1
తాలూకు	తాలూకు	తాలూకు	0.997683	1	1
నీల	నీల	నీల	0.996611	1	1
ఉద్ధరించి	ఉద్ధరించి	ఉద్ధరించి	0.985669	1	1
గవర్నర్	గవర్నర్	గవర్నర్	0.970424	1	1
గడియారం	గడియారం	గడియారం	0.999700	1	1
పరిపూర్ణంగా	పరిపూర్ణంగా	పరిపూర్ణంగా	0.998191	1	1
నున్న	నున్న	నున్న	0.986142	1	1
కాలము	కాలము	కాలము	0.999394	1	1
లనబడు	లనబడు	లనబడు	0.924290	1	1
మాష్టరుగా	మాష్టరుగా	మాష్టరుగా	0.988930	1	1
ఆకారంలో	ఆకారంలో	ఆకారంలో	0.998510	1	1
అని	అని	అని	0.999618	1	1
దీర్ఘ	దీర్ఘ	దీర్ఘ	0.992352	1	1
వాళ్ళ	వాళ్ళ	వాళ్ళ	0.997697	1	1
శిల్పం	శిల్పం	శిల్పం	0.994656	1	1
యెక్కువ	యెక్కువ	యెక్కువ	0.929554	1	1
అదీ	అదీ	అదీ	0.999348	1	1
కాలంలో	కాలంలో	కాలంలో	0.999684	1	1
చేతులపై	చేతులపై	చేతులపై	0.998911	1	1
తన	చన	చన	0.613144	0	0
లేకుండా	లేకుండా	లేకుండా	0.989042	1	1
చేతులు	చేతులు	చేతులు	0.999617	1	1
చెందిన	చెందిన	చెందిన	0.917541	1	1
రెపరెప	రెపరెప	రెపరెప	0.987030	1	1
పడితే	పడితే	పడితే	0.999662	1	1
గాని	గాని	గాని	0.945072	1	1
వాళ్ళే	వాళ్ళే	వాళ్ళే	0.985922	1	1
చేయగా	చేయగా	చేయగా	0.999532	1	1
తెలుగుదేశంలో	తెలుగుదేశంలో	తెలుగుదేశంలో	0.975991	1	1
సంరంభ	సంరంభ	సంరంభ	0.985419	1	1
దిగుమతుల	దిగుమతుల	దిగుమతుల	0.995452	1	1
మూతి	మూతి	మూతి	0.994229	1	1
కనిపించిన	కనిపించిన	కనిపించిన	0.997695	1	1
ఆకారం	ఆకారం	ఆకారం	0.998809	1	1
తర్వాత	తర్వాత	తర్వాత	0.999934	1	1
దానివెంట	దానివెంట	దానివెంట	0.988456	1	1
జేసి	జేసి	జేసి	0.999421	1	1
సంధి	సంధి	సంధి	0.998065	1	1
బోటి	బోటి	బోటి	0.997661	1	1
సుగుణ	సుగుణ	సుగుణ	0.978724	1	1
సీత	సీత	సీత	0.998095	1	1
మొట్టమొదటి	మొట్టమొదటి	మొట్టమొదటి	0.999448	1	1
ఏమిటో	ఏమిటో	ఏమిటో	0.942413	1	1
రాజ్యమునకు	రాజ్యమునకు	రాజ్యమునకు	0.998042	1	1
భోజన	భోజన	భోజన	0.934544	1	1
చూస్తుంది	చూస్తుంచి	చూస్తుంది	0.922353	0	1
తక్షణమే	తక్షుణమే	తక్షుణమే	0.992420	0	0
శ్రీ	శ్రీ	శ్రీ	0.965917	1	1
మనస్సుకి	మనస్సుకి	మనస్సుకి	0.999704	1	1
శాఖ	శాఖ	శాఖ	0.975039	1	1
ముళ్ళు	ముళ్ళు	ముళ్ళు	0.999198	1	1
నుండి	నుండి	నుండి	0.949395	1	1
మొదట	మొదట	మొదట	0.999639	1	1
నుంచి	నుంచి	నుంచి	0.938378	1	1
రొమ్ము	రొమ్ము	రొమ్ము	0.932397	1	1
గొప్ప	గొప్ప	గొప్ప	0.998764	1	1
లోని	లోని	లోని	0.999221	1	1
వాడెవడో	వాడెవడో	వాడెవడో	0.999276	1	1
హాయిగా	హాయిగా	హాయిగా	0.999600	1	1
తిరుపతిలో	తిరుపళిలో	తిరుపతిలో	0.916005	0	1
సంపత్తి	సంపతతి	సంపతతి	0.968464	0	0
శరీర	శరీర	శరీర	0.999705	1	1
అందరిని	అందరిని	అందరిని	0.999558	1	1
తర్వాతైనా	తర్వాతైనా	తర్వాతైనా	0.999729	1	1
అక్కడికి	అక్కడికి	అక్కడికి	0.999590	1	1
మనస్సు	మనస్సు	మనస్సు	0.996279	1	1
వారీ	వారీ	వారీ	0.998285	1	1
అంతా	అంతా	అంతా	0.997648	1	1
మాత్రము	మాత్రరిము	మాత్రము	0.911867	0	1
మా	మా	మా	0.919308	1	1
రాజ్యము	రాజ్యము	రాజ్యము	0.999927	1	1
తాము	తాము	తాము	0.997200	1	1
ఇంటిలోనుండి	ఇంటిలోనుండి	ఇంటిలోనుండి	0.982051	1	1
రెండు	రెండు	రెండు	0.990141	1	1
మోకాళ్ళ	మోకాళ్ళ	మోకాళ్ళ	0.999094	1	1
కొంచెము	కొంచెము	కొంచెము	0.996240	1	1
అది	అది	అది	0.890503	1	1
కాలము	కాలము	కాలము	0.927483	1	1
స్పృశించి	స్పృశించి	స్పృశించి	0.994884	1	1
ట్రీట్మెంటు	ట్రీట్మెంటు	ట్రీట్మెంటు	0.971200	1	1
చిన్ని	చిన్ని	చిన్ని	0.999764	1	1
వర్తకము	వర్తకము	వర్తకము	0.999166	1	1
అతడు	ఆతడు	అతడు	0.905878	0	1
మాత్రం	మాత్రం	మాత్రం	0.957153	1	1
అది	అది	అది	0.925667	1	1
పాపకు	పాపకు	పాపకు	0.999078	1	1
కవిత్వంలో	కవిత్వంలో	కవిత్వంలో	0.999555	1	1
చెప్పినవి	చెప్పినవి	చెప్పినవి	0.999738	1	1
లేనందున	లేనందున	లేనందున	0.952531	1	1
మా	మా	మా	0.903724	1	1
గుస	గస	గస	0.922146	0	0
ననేకులు	ననేకులు	ననేకులు	0.989084	1	1
తర్వాత	తర్వాత	తర్వాత	0.998501	1	1
బాలుఁడు	బాలుఁడు	బాలుఁడు	0.990981	1	1
భారతీయత	భారతీయత	భారతీయత	0.951931	1	1
చిరునవ్వును	చిరునవ్వును	చిరునవ్వును	0.998986	1	1
దేశంలో	దేశంలో	దేశంలో	0.999581	1	1
కలిగి	కలిగి	కలిగి	0.984777	1	1
తన	తన	తన	0.999652	1	1
ఆర్మీనియన్	ఆర్మనియన్	ఆర్మనియన్	0.972250	0	0
వానికి	వానికి	వానికి	0.999451	1	1
సదరు	సదరు	సదరు	0.950241	1	1
ముందు	ముందు	ముందు	0.997490	1	1
తీసికొనుటకు	తీసికొనుటకు	తీసికొనుటకు	0.922842	1	1
జరిగినచో	జరగినఛో	జరగినఛో	0.996317	0	0
ధ్యానం	ధ్యానం	ధ్యానం	0.995032	1	1
విజయనగర	విజయనగర	విజయనగర	0.953213	1	1
నకు	నకు	నకు	0.999154	1	1
ఈమెని	ఈమెని	ఈమెని	0.997797	1	1
చీలమండలు	చీలమండలు	చీలమండలు	0.971564	1	1
మీరు	మీరు	మీరు	0.921348	1	1
మొల	మొల	మొల	0.999764	1	1
భారత	భారత	భారత	0.999531	1	1
వెలుగుచు	వెలుగుచు	వెలుగుచు	0.987485	1	1
మొలత్రాడు	మొలత్రాడు	మొలత్రాడు	0.980708	1	1
గొప్ప	గిొప్ప	గొప్ప	0.878492	0	1
లేగ	లేగ	లేగ	0.999573	1	1
మహానుభావుడు	మహానుభావుడు	మహానుభావుడు	0.950451	1	1
ఉండదు	ఉండదు	ఉండదు	0.999780	1	1
అర్థము	అర్థము	అర్థము	0.945659	1	1
గొంతుకలో	గొంతుకలో	గొంతుకలో	0.996434	1	1
పదవి	పదవి	పదవి	0.998945	1	1
మందర	మందర	మందర	0.999323	1	1
ఇక్కడ	ఇక్కడ	ఇక్కడ	0.999820	1	1
జైమినీ	జైమినీ	జైమినీ	0.995299	1	1
పూట	పూట	పూట	0.999086	1	1
గాలి	గాలి	గాలి	0.997726	1	1
లోకానికి	లోకానికి	లోకానికి	0.999442	1	1
చక్కగా	చక్కగా	చక్కగా	0.999893	1	1
వస్తువే	వస్తువే	వస్తువే	0.999446	1	1
వీయం	వీయం	వీయం	0.997860	1	1
నిలబడ్డాయి	నిలబడ్డాయి	నిలబడ్డాయి	0.962162	1	1
ఎక్కడికి	ఎక్కడికి	ఎక్కడికి	0.966607	1	1
అతనిపై	ఆతనిపై	ఆతనిపై	0.995293	0	0
కొన్నియైన	కొన్నియైన	కొన్నియైన	0.999472	1	1
కైలాసాన్ని	కైలాసాన్ని	కైలాసాన్ని	0.962431	1	1
ఎందుకండి	ఎందుకండి	ఎందుకండి	0.971958	1	1
నేలపైని	నేలపైని	నేలపైని	0.999433	1	1
పతంజలి	పతంజలి	పతంజలి	0.986312	1	1
తము	తము	తము	0.989352	1	1
మూడు	మూడు	మూడు	0.999736	1	1
చేసుకోండి	చేసుకోండి	చేసుకోండి	0.999582	1	1
వెంటనే	నెంటనే	వెంటనే	0.931448	0	1
పాండురంగ	పాండురంగ	పాండురంగ	0.972152	1	1
వాని	వాని	వాని	0.999222	1	1
నెమలి	నెమలి	నెమలి	0.961702	1	1
గజ్జెల	గజ్జెల	గజ్జెల	0.996527	1	1
దేశంలో	దేశంలో	దేశంలో	0.999636	1	1
వాళ్ళతో	వాళ్ళతో	వాళ్ళతో	0.996957	1	1
రాష్ట్రమునకు	రాట్టమునకు	రాట్టమునకు	0.975133	0	0
కలిపి	కలిపి	కలిపి	0.980598	1	1
వారికి	వారికి	వారికి	0.980822	1	1
పా	పా	పా	0.995414	1	1
మాత్రము	మాత్రము	మాత్రము	0.978894	1	1
పాలించిన	పాలించిన	పాలించిన	0.943336	1	1
ఉన్నవి	ఉన్నవి	ఉన్నవి	0.999394	1	1
సేవించుకుంటూ	సేవించుకుంటూ	సేవించుకుంటూ	0.995315	1	1
వలసల	నలసల	నలసల	0.982878	0	0
గవర్నర్	గవర్నక్	గవర్నర్	0.931336	0	1
ఇలా	ఇలా	ఇలా	0.999890	1	1
చేసినా	చేసినా	చేసినా	0.999730	1	1
చైతన్యం	చైతన్యం	చైతన్యం	0.935319	1	1
చక్కగ	చక్కగ	చక్కగ	0.997944	1	1
చిదిమిన	చిదిమిన	చిదిమిన	0.936991	1	1
కొన్ని	కొన్ని	కొన్ని	0.998659	1	1
గనుక	గనుక	గనుక	0.998145	1	1
వీరి	వీరి	వీరి	0.998932	1	1
చేసేసి	చేసేసి	చేసేసి	0.999690	1	1
షు	ప	పై	0.600126	0	0
కనుక	కనుక	కనుక	0.998887	1	1
పుత్రుడగు	పుతుడగు	పుతుడగు	0.998465	0	0
కొత్తగా	కొత్తగా	కొత్తగా	0.999792	1	1
అతని	ఆతని	ఆతని	0.995496	0	0
నీకు	నీకు	నీకు	0.922198	1	1
ఉన్నటువంటి	ఉన్నటువంటి	ఉన్నటువంటి	0.994531	1	1
దానిపేరు	దానిపేరు	దానిపేరు	0.999532	1	1
అన్నని	అన్నని	అన్నని	0.999830	1	1
అప్పటికే	అప్పటికే	అప్పటికే	0.993328	1	1
హరిహర	హరిహర	హరిహర	0.999632	1	1
అర్థము	అర్థము	అర్థము	0.997652	1	1
అతని	ఆతని	ఆతని	0.997044	0	0
టైము	టైము	టైము	0.996078	1	1
దగ్గర	దగ్గర	దగ్గర	0.999912	1	1
చెల్లించిన	చెల్లించిన	చెల్లించిన	0.999594	1	1
ఇక్కడ	ఇక్కడ	ఇక్కడ	0.978848	1	1
త్రాచు	త్రాచు	త్రాచు	0.981967	1	1
అన్నారు	అన్నారు	అన్నారు	0.999820	1	1
నాల్గు	నాల్గు	నాల్గు	0.930503	1	1
తనకే	తనకే	తనకే	0.918706	1	1
కింత	కింత	కింత	0.999692	1	1
ధ్యానము	ధ్యానము	ధ్యానము	0.999252	1	1
తల్లి	తల్లి	తల్లి	0.987813	1	1
యింకా	యింకా	యింకా	0.999876	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.999380	1	1
నవ్వుతూ	నవ్వుతూ	నవ్వుతూ	0.999276	1	1
అన్నియు	అన్నియు	అన్నియు	0.977808	1	1
యీ	యీ	యీ	0.998679	1	1
వాళ్ళందరు	వాళ్ళందరు	వాళ్ళందరు	0.999624	1	1
పలువురు	పలువురు	పలువురు	0.997112	1	1
లు	ఆ	ఆట	0.927768	0	0
దర్శనము	దర్శనము	దర్శనము	0.997225	1	1
ముగ	ముగ	ముగ	0.984780	1	1
కోకొల్లలుగా	కోకొల్లలుగా	కోకొల్లలుగా	0.962146	1	1
దేనితో	దేనితో	దేనితో	0.998496	1	1
శాంతింప	శాతింప	శాంతింప	0.948891	0	1
తూకము	తూకము	తూకము	0.990987	1	1
నులను	నులను	నులను	0.995227	1	1
ఆటలు	ఆటలు	ఆటలు	0.998427	1	1
అయిన	అయిన	అయిన	0.999524	1	1
అష్టాంగ	అష్టాంగ	అష్టాంగ	0.998677	1	1
అందిన	అందిన	అందిన	0.999845	1	1
విజయోత్సవం	విజయోత్పవం	విజయోత్పవం	0.978125	0	0
తమ	తమ	తమ	0.999829	1	1
మూ	మూ	మూ	0.999397	1	1
రాజ్యమునకు	రాజ్యమునకు	రాజ్యమునకు	0.959005	1	1
స్థితి	స్థితి	స్థితి	0.998016	1	1
చాలా	చాలా	చాలా	0.997766	1	1
చెయ్యి	చెయ్యి	చెయ్యి	0.983490	1	1
నుండి	నుండి	నుండి	0.999303	1	1
చేసుకుంటూ	చేసుకుంటూ	చేసుకుంటూ	0.999718	1	1
మీరు	మీరు	మీరు	0.999553	1	1
వీడియో	వీడియో	వీడియో	0.999463	1	1
అన్నమాట	అన్నమాట	అన్నమాట	0.998138	1	1
ఆయనకొక	ఆయనకొక	ఆయనకొక	0.987210	1	1
ఫస్	ఫస్	ఫస్	0.999198	1	1
సుజా	సుజా	సుజా	0.957980	1	1
నిరోధం	నిరోధం	నిరోధం	0.999100	1	1
ఎక్కడికి	ఎక్కడికి	ఎక్కడికి	0.991113	1	1
కాహార	కాహార	కాహార	0.937199	1	1
ఇలా	ఇలా	ఇలా	0.908813	1	1
మనకు	మనకు	మనకు	0.913294	1	1
నిలు	నిలు	నిలు	0.904853	1	1
స్థైర్యము	సైర్యము	సైర్యము	0.975876	0	0
ఇంగ్లీషు	ఇంశ్ల్షు	ఇంగ్లీషు	0.826365	0	1
అకారాది	అకారాది	అకారాది	0.995395	1	1
మాకు	మాకు	మాకు	0.986248	1	1
ఒక్కొక్కడు	ఒక్కొక్కడు	ఒక్కొక్కడు	0.975401	1	1
దనేక	దనేక	దనేక	0.991561	1	1
అనుభవిస్తేనే	అనుభవిస్తేనే	అనుభవిస్తేనే	0.962311	1	1
మోకాళ్ళు	మోకాళ్ళు	మోకాళ్ళు	0.999503	1	1
కొడుకులలో	కొడుకులలో	కొడుకులలో	0.959436	1	1
ఇక్కడ	ఇక్కడ	ఇక్కడ	0.964404	1	1
ఏయే	ఏయే	ఏయే	0.999290	1	1
ఏవో	ఏవో	ఏవో	0.999119	1	1
ఆఫీసు	ఆఫీసు	ఆఫీసు	0.940428	1	1
పాదముల	పాదముల	పాదముల	0.970375	1	1
శ్రీ	శ్రీ	శ్రీ	0.935956	1	1
కాని	కాని	కాని	0.972682	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.999331	1	1
కట్టుకు	కట్టుకు	కట్టుకు	0.985480	1	1
అనునతడు	అనునతడు	అనునతడు	0.997411	1	1
జారిపోతుంది	జారిపోతుంది	జారిపోతుంది	0.999663	1	1
మన	మన	మన	0.999350	1	1
వాడెవడో	వాడెవడో	వాడెవడో	0.991251	1	1
సరిగా	సరిగా	సరిగా	0.993993	1	1
సాంగత్యంలో	సాంగత్యంలో	సాంగత్యంలో	0.998725	1	1
గోళ్ళు	గోళ్ళు	గోళ్ళు	0.999405	1	1
రాంబాబుకి	రాంబాబుకి	రాంబాబుకి	0.999449	1	1
దేవత	దేవత	దేవత	0.978754	1	1
అక్కడ	అక్కడ	అక్కడ	0.999960	1	1
పడితే	పడితే	పడితే	0.999637	1	1
మా	మా	మా	0.996976	1	1
నిలబడితే	నిలబడితే	నిలబడితే	0.999272	1	1
తర్వాత	తర్వాత	తర్వాత	0.999937	1	1
వలె	వలె	వలె	0.941632	1	1
వాఁడు	వాఁడు	వాఁడు	0.985718	1	1
ఆకాశంలోంచి	ఆకాశంలోంచి	ఆకాశంలోంచి	0.998908	1	1
మనకి	మనకి	మనకి	0.999602	1	1
వాళ్ళందరితో	వాళ్ళందరితో	వాళ్ళందరితో	0.998317	1	1
తల	తల	తల	0.997646	1	1
అన్ని	అన్ని	అన్ని	0.966490	1	1
సరిగ	సరిగ	సరిగ	0.998647	1	1
తిరుపతిలో	తిరుపతిలో	తిరుపతిలో	0.998472	1	1
కావ	వావ	వా	0.880849	0	0
చూసుకో	చూసుకో	చూసుకో	0.999820	1	1
వాడు	వాడు	వాడు	0.949094	1	1
పాటు	పాటు	పాటు	0.931431	1	1
నౌకర్లు	నాకెప్ు	నాకెవరు	0.765305	0	0
కనుక	కనుక	కనుక	0.986520	1	1
మని	మని	మని	0.881866	1	1
తప్పకుండా	తప్పకుండా	తప్పకుండా	0.999774	1	1
నిశ్వాసములు	నిశ్వాసములు	నిశ్వాసములు	0.997639	1	1
యెగుమతి	యెగుమతి	యెగుమతి	0.967537	1	1
ఫ్రెంచివారు	ఫ్రెంచివారు	ఫ్రెంచివారు	0.979707	1	1
నెయ్యి	నెయ్యి	నెయ్యి	0.996332	1	1
కయ్యమునకు	కయ్యమునకు	కయ్యమునకు	0.962891	1	1
వాని	వాని	వాని	0.999405	1	1
ఇటు	ఇటు	ఇటు	0.987528	1	1
గోచీలు	గోచీలు	గోచీలు	0.960698	1	1
మన	మన	మన	0.997629	1	1
రెండు	రెండు	రెండు	0.998668	1	1
దాగెను	దాగెను	దాగెను	0.996510	1	1
భుజములు	భుజములు	భుజములు	0.945321	1	1
నువ్వు	నువ్వు	నువ్వు	0.997488	1	1
వలన	వలన	వలన	0.998997	1	1
మ్మా	మ్మా	మ్మా	0.997855	1	1
చక్రము	చక్ము	చక్ము	0.991683	0	0
శాస్త్రిగారి	శాస్ర్రిగారి	శాస్త్రిగారి	0.907749	0	1
వస్త్రము	వస్త్రము	వస్త్రము	0.955967	1	1
వారు	వారు	వారు	0.997816	1	1
సర్వ	సర్వ	సర్వ	0.999655	1	1
ఇక్కడ	ఇక్కడ	ఇక్కడ	0.999702	1	1
అల్లసాని	అల్లసాని	అల్లసాని	0.999678	1	1
అది	అది	అది	0.999609	1	1
అపుడు	అపుడు	అపుడు	0.998399	1	1
ఎక్కడికి	ఎక్కడికి	ఎక్కడికి	0.994478	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.999231	1	1
కొందఱు	కొందఱు	కొందఱు	0.998697	1	1
మీ	మీ	మీ	0.999892	1	1
అన్నారు	న్నారు	న్నారు	0.998675	0	0
సంగతులు	సంగతులు	సంగతులు	0.971984	1	1
వచ్చేటప్పటికి	వచ్చేటప్పటికి	వచ్చేటప్పటికి	0.947683	1	1
వాడికి	వాడికి	వాడికి	0.989824	1	1
వీరిలో	వీరిలో	వీరిలో	0.999644	1	1
చాలా	చాలా	చాలా	0.944549	1	1
కాలు	కాలు	కాలు	0.971034	1	1
ప్రసాదము	పసాదము	పసాదము	0.952407	0	0
చేసుకుంటే	చేసుకుంటే	చేసుకుంటే	0.999586	1	1
అరడజను	అరడజను	అరడజను	0.999566	1	1
వలెనే	వలెనే	వలెనే	0.996863	1	1
మరియొకసారి	మరియొకసారి	మరియొకసారి	0.998450	1	1
అలాగే	అలాగే	అలాగే	0.999679	1	1
ఇంటికి	ఇంటికి	ఇంటికి	0.999412	1	1
తన	తన	తన	0.997311	1	1
నొక్కక	నొకక	నొకక	0.995299	0	0
యిష్టం	యిష్టం	యిష్టం	0.998309	1	1
మును	మును	మును	0.998770	1	1
నొక	నొక	నొక	0.995255	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.999461	1	1
తెప్పించి	తెప్పించి	తెప్పించి	0.977270	1	1
ధనము	ధనము	ధనము	0.998675	1	1
నాయకులు	నాయకులు	నాయకులు	0.999541	1	1
వాఁడు	వాఁడు	వాఁడు	0.991687	1	1
కొన్నింట	కొన్నింట	కొన్నింట	0.999650	1	1
నీల	నీల	నీల	0.999010	1	1
తిరుగుబాట్ల	తిరుగుబాట్ల	తిరుగుబాట్ల	0.966806	1	1
శ్రీ	శ్రీ	శ్రీ	0.983079	1	1
ఆటలు	ఆటలు	ఆటలు	0.972145	1	1
శాస్త్రము	శాస్ర్రము	శాస్ర్రము	0.978620	0	0
శాస్త్రిగారి	శాస్త్రిగారి	శాస్త్రిగారి	0.957820	1	1
ఇప్పుడు	ఇప్పుడు	ఇప్పుడు	0.998243	1	1
ఎంతో	ఎంతో	ఎంతో	0.997639	1	1
అంటే	అంటే	అంటే	0.918411	1	1
మొదలగు	మొదలగు	మొదలగు	0.964713	1	1
తరువాత	తరువాత	తరువాత	0.999350	1	1
చేయగా	చేయగా	చేయగా	0.999816	1	1
చెప్పిన	చెప్పిన	చెప్పిన	0.954148	1	1
విజయనగర	విజయనగర	విజయనగర	0.995724	1	1
దాని	దాని	దాని	0.984955	1	1
కూడా	కూడా	కూడా	0.999504	1	1
మంది	మంది	మంది	0.999668	1	1
వివేక	వివేక	వివేక	0.997715	1	1
పేర్లు	పేర్లు	పేర్లు	0.995640	1	1
నిద్రలేచి	నిద్రలేచి	నిద్రలేచి	0.996549	1	1
దాన్ని	దాన్ని	దాన్ని	0.999837	1	1
ప్రతివాడు	ప్రతివాడు	ప్రతివాడు	0.950472	1	1
మిక్కిలి	మిక్కిలి	మిక్కిలి	0.988354	1	1
చూచి	చూచి	చూచి	0.999440	1	1
వానిని	వానిని	వానిని	0.999329	1	1
నూటికి	నూటికి	నూటికి	0.998912	1	1
ఇంతకీ	ఇంతకీ	ఇంతకీ	0.999573	1	1
పుట్టి	పుట్టి	పుట్టి	0.990564	1	1
అనే	అనే	అనే	0.999681	1	1
అంటే	అంటే	అంటే	0.996676	1	1
వివేకము	వివేకము	వివేకము	0.966099	1	1
సేతులు	సేతులు	సేతులు	0.984546	1	1
మూలతత్వం	మూలత్వం	మూలత్వం	0.987857	0	0
మేను	మేను	మేను	0.970951	1	1
స్వార్థపరులు	స్వాధ్భపరులు	స్వార్థపరులు	0.900537	0	1
ఉంటే	ఉంటే	ఉంటే	0.999520	1	1
ఇవాళ	ఇవాళ	ఇవాళ	0.999615	1	1
పెడితే	పెడితే	పెడితే	0.997849	1	1
శాస్త్రిగారు	శాస్త్రిగారు	శాస్త్రిగారు	0.989977	1	1
దత్తపుత్రుడు	దత్తపుత్రుడు	దత్తపుత్రుడు	0.963317	1	1
మామూలు	మామూలు	మామూలు	0.999895	1	1
టీకా	టీకా	టీకా	0.995275	1	1
ఘల్లు	ఘల్లు	ఘల్లు	0.999207	1	1
చిత్రలేఖనం	చిత్రలేఖనం	చిత్రలేఖనం	0.994423	1	1
యే	యే	యే	0.782572	1	1
వారి	వారి	వారి	0.998483	1	1
యొక్క	యొక్క	యొక్క	0.999927	1	1
యీతడే	యీతడే	యీతడే	0.999042	1	1
రాజ్య	రాజ్య	రాజ్య	0.999764	1	1
నువ్వు	నువ్వు	నువ్వు	0.996715	1	1
స్థిరముగా	స్థిరముగా	స్థిరముగా	0.999596	1	1
ఎలా	ఎలా	ఎలా	0.984537	1	1
మొలత్రాడు	మొలత్రాడు	మొలత్రాడు	0.969549	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.998897	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.999292	1	1
చూడమని	చూడమని	చూడమని	0.994113	1	1
మార్గం	మార్గం	మార్గం	0.999438	1	1
నాకు	నాకు	నాకు	0.951208	1	1
