GT	Pred	Corrected	Prob	WRR_Correct	Post_WRR_Correct
''ఓ ....	"ఓ..	"ఓ..	0.7781	0	0
నాలో	నాలో	నాలో	0.9988	1	1
కమ్యూనిస్టులు,	కమ్యూసిస్టులు,	కమ్యూసిస్టులు,	0.9962	0	0
ఆగుతుంది.	అగుతుంది.	అగుతుంది.	0.9809	0	0
వర్ణించడమే	వర్ణించడమే	వర్ణించడమే	0.9985	1	1
నిశ్చేష్టకాగానే	నిశ్చేష్టకాగానే	నిశ్చేష్టకాగానే	0.9899	1	1
''.... ....మ్మా.... :	..	..	0.4871	0	0
చేసాం.	చేసాం.	చేసాం.	0.9924	1	1
నలువది	నలువది	నలువది	0.9925	1	1
నల్లమబ్బులోన	నల్లమబ్బులోని	నల్లమబ్బులోని	0.9617	0	0
అన్నాడు.	అన్నాడు.	అన్నాడు.	0.9995	1	1
తీసుకురావాలి''	తీసుకురావాలి"	తీసుకురావాలి"	0.9991	0	0
యబ్బనున్నది	యబ్బనున్నది	యబ్బనున్నది	0.9998	1	1
తల్లీ	తల్లీ	తల్లీ	0.9995	1	1
గ్రంథాలు	గ్రంథాలు	గ్రంథాలు	0.9587	1	1
దాంట్లోను,	దాంట్లోను,	దాంట్లోను,	0.9994	1	1
అన్నే	అన్నే	అన్నే	0.9250	1	1
రాజులను	రాజులను	రాజులను	0.9850	1	1
చూచితిరా	చూచితిరా!	చూచితిరా!	0.9887	0	0
టైఫాయిడు,	టైఫాయిడు,	టైఫాయిడు,	0.9803	1	1
కడుపు	కడుపు	కడుపు	0.9649	1	1
నున్నారని	నున్నారని	నున్నారని	0.9352	1	1
కాని,	కాని,	కాని,	0.9975	1	1
పోయవలె''	వోయవలె"	వోయవలె"	0.9326	0	0
అనుభవానికి	అనుభవానికి	అనుభవానికి	0.9994	1	1
లేక	లేక	లేక	0.9970	1	1
వీటిలో	వీటిలో	వీటిలో	0.9992	1	1
ఇదిగో	ఇదిగో	ఇదిగో	0.9998	1	1
చూడము	చూడము	చూడము	0.9999	1	1
ఆకుపచ్చగా	ఆకుపచ్చగా	ఆకుపచ్చగా	0.9968	1	1
యిచ్చినా	యిచ్చినా	యిచ్చినా	0.9431	1	1
అన్నాడు.	అన్నాడు.	అన్నాడు.	0.9996	1	1
చుట్టునున్నవారి	చుట్టునున్నవారి	చుట్టునున్నవారి	0.9802	1	1
అయితే	అయితే	అయితే	0.9997	1	1
దారు	దారు	దారు	0.9989	1	1
యిచ్చునట్లు	యిచ్చునట్లు	యిచ్చునట్లు	0.9559	1	1
వెళ్ళారు.	వెళ్ళారు.	వెళ్ళారు.	0.9847	1	1
మేము	మేము	మేము	0.9992	1	1
19	19	19	0.9991	1	1
అవతల	అవతల	అవతల	0.9995	1	1
కలలనెన్నొ	కలలనెన్నొ	కలలనెన్నొ	0.9933	1	1
పిణీవారు	పిణీవారు	పిణీవారు	0.9281	1	1
''డాక్టర్	"డాక్టర్	"డాక్టర్	0.9774	0	0
కలిగినటువంటి	కలిగినటువంటి	కలిగినటువంటి	0.9692	1	1
1756 సం||లో	Iవర్సంlలో	Iవర్సంlలో	0.8711	0	0
ప్రకారము	ప్కారము	ప్కారము	0.9415	0	0
నెమ్మదిగా	నెమ్మదిగా	నెమ్మదిగా	0.9971	1	1
తిరుగుతున్నారు.	తిరుగుతున్నారు.	తిరుగుతున్నారు.	0.9585	1	1
కాదు.	కాదు.	కాదు.	0.9976	1	1
నిర్బంధించెను.	నిర్బరధించెను.	నిర్బరధించెను.	0.9348	0	0
నవ్వుతున్నాడు.	నవ్వుతున్నాడు.	నవ్వుతున్నాడు.	0.9882	1	1
వాడు	వాడు	వాడు	0.9804	1	1
కుంపిణీవారు	కుంపిణీనారు	కుంపిణీనారు	0.9621	0	0
పెద్దవాడైన	పెద్దవాడైన	పెద్దవాడైన	0.9731	1	1
మిప్పటికి	మిప్పటికి	మిప్పటికి	0.9975	1	1
మేలుగలుగుచున్నది.	మేలుగలుగుచున్నది.	మేలుగలుగుచున్నది.	0.9850	1	1
పాటించి	పాటిచి	పాటిచి	0.9400	0	0
ఏడ్వాలమ్మా	ఏడ్వాలమ్మా!	ఏడ్వాలమ్మా!	0.9717	0	0
డగుటచే	డగుటచే	డగుటచే	0.9671	1	1
రాకాసితిండి	రాకాసితిండి	రాకాసితిండి	0.9995	1	1
అన్నామలై	అన్నామలై	అన్నామలై	0.9678	1	1
నను,	నను.	నను.	0.9100	0	0
మానవకోటికి	మానవకోటికి	మానవకోటికి	0.9987	1	1
యింగ్లీషువారు	యింగ్లీషువారు	యింగ్లీషువారు	0.9923	1	1
అవతలికి	అవతలికి	అవతలికి	0.9994	1	1
కోల్పోయినచెల్లి	కోల్పోయినచెల్లి	కోల్పోయినచెల్లి	0.9977	1	1
మళ్లీ	మళ్లీ	మళ్లీ	0.9993	1	1
కాలాతీతమైనటువంటి	కాలాతీతమైనటువంటి	కాలాతీతమైనటువంటి	0.9860	1	1
అయితే	అయితే	అయితే	0.9996	1	1
అనే	అనే	అనే	0.9986	1	1
మె	వెం	వెం	0.9984	0	0
'స్వరూప	'స్వరూప	'స్వరూప	0.9905	1	1
కస్తూరీ	కస్తూరీ	కస్తూరీ	0.9899	1	1
నీ	నీ	నీ	0.9995	1	1
రంగులో	రంగులో	రంగులో	0.9998	1	1
నమ్మఁజాలనట్లున్నది.	నమ్మఁజాలనల్లున్నది.	నమ్మఁజాలనల్లున్నది.	0.8974	0	0
ఆజ్ఞాపించిరి.	ఆజ్ఞాపించిరి.	ఆజ్ఞాపించిరి.	0.9979	1	1
కొంద	కొంద	కొంద	0.9394	1	1
చేస్తే	చేస్తే	చేస్తే	0.9992	1	1
ఇలాగ	ఇలాగ	ఇలాగ	0.9026	1	1
అని	అని	అని	0.9994	1	1
''చిన్నరి	"చిన్నరి	"చిన్నరి	0.9867	0	0
గులవా	గులవా	గులవా	0.9937	1	1
తిరుగుతున్న	తిరుగుతున్న	తిరుగుతున్న	0.9998	1	1
లేకుండెను.	లేకుండెను.	లేకుండెను.	0.9988	1	1
యింగ్లీషు	యిళ్లిషు	యిళ్లిషు	0.8710	0	0
అనబడును.	అనబడును.	అనబడును.	0.9795	1	1
అవి	అవి	అవి	0.9020	1	1
83	93	93	0.9001	0	0
ప్రవర్తనము,	ప్రవర్తనము,	ప్రవర్తనము,	0.9086	1	1
యేదో	యేదో	యేదో	0.9997	1	1
వస్త్రము,	వస్ర్రము,	వస్ర్రము,	0.9623	0	0
గోషావేశుడైయున్నాడని	రోహావేసుడైయున్నాడని	రోహావేసుడైయున్నాడని	0.9283	0	0
తండ్రి	తండ్రి	తండ్రి	0.9698	1	1
రెండుమార్లు	రెండుమార్లు	రెండుమార్లు	0.9918	1	1
పాలకులు	పాలకులు	పాలకులు	0.9966	1	1
వెన్నెముక	వెన్నెముక	వెన్నెముక	0.9897	1	1
అబ్బ	అబ్బ	అబ్బ	0.9999	1	1
పాదాలమీద	పాదాలమీద	పాదాలమీద	0.9418	1	1
రూపం	రూపం	రూపం	0.9997	1	1
యిస్తారు.	యిస్తారు.	యిస్తారు.	0.9976	1	1
అది	అది	అది	0.9994	1	1
ఝమ్ క	ఝమ్క	ఝమ్క	0.9946	0	0
రాసిన	రాసిన	రాసిన	0.9937	1	1
అప్పుడు	అప్పుడు	అప్పుడు	0.9991	1	1
మిగతా	మిగతా	మిగతా	0.9484	1	1
ట్రీట్మెంటుకు	ట్రీట్మెంటుకు	ట్రీట్మెంటుకు	0.9245	1	1
సిరిసంపదలతో	సిరిసఁపదలతో	సిరిసఁపదలతో	0.9708	0	0
ధనరాసులుండెను.	ధనరాసులుండెను.	ధనరాసులుండెను.	0.9774	1	1
దృష్టి	దృష్టి	దృష్టి	0.9453	1	1
శుభముహూర్త	శుభముహూర్త	శుభముహూర్త	0.9991	1	1
నీలాల	నీలాల	నీలాల	0.9845	1	1
నువ్వు	నువ్వు	నువ్వు	0.9993	1	1
చీలమండలు	చీలమండలు	చీలమండలు	0.9797	1	1
గించినవి.	గించినవి.	గించినవి.	0.9937	1	1
రొఖ్క	రొఖ్క	రొఖ్క	0.9206	1	1
వాళ్ళ	వాళ్ళ	వాళ్ళ	0.9981	1	1
దేవులు.	దేవులు.	దేవులు.	0.9402	1	1
నష్టము	నష్టము	నష్టము	0.9678	1	1
వజీరుకు	వజీరుకు	వజీరుకు	0.9995	1	1
ఆడుకోవె	ఆడుకోవె	ఆడుకోవె	0.9872	1	1
పద్ధతి	పద్ధతి	పద్ధతి	0.9607	1	1
జారిపోతుంది.	జారిపోతుంది.	జారిపోతుంది.	0.9995	1	1
ఎక్కడనుంచి	ఎక్కడనుంచి	ఎక్కడనుంచి	0.9995	1	1
బుజువుపోయిరి.	బుజువుచేయలేకపోంటి.	బుజువుచేయలేకపోంటి.	0.8386	0	0
సింపుల్గా	సింపుల్గా	సింపుల్గా	0.9998	1	1
పెక్కుమంది	వెక్కుమంది	వెక్కుమంది	0.9501	0	0
వెళ్ళారు?	వెళ్ళారు?	వెళ్ళారు?	0.9999	1	1
చలిస్తుంది.]	చలిస్తుంది.]	చలిస్తుంది.]	0.9508	1	1
లకుగాను	లకుగాను	లకుగాను	0.9944	1	1
కూడ	కూడ	కూడ	0.9305	1	1
ఆ	ఆ	ఆ	0.9988	1	1
ఎక్కడ	ఎక్కడ"	ఎక్కడ"	0.9360	0	0
మొదలైన	మొదలైన	మొదలైన	0.9996	1	1
అందులో	అందులో	అందులో	0.9998	1	1
రాలేదు.	రాలేదు.	రాలేదు.	0.9973	1	1
దయార్ద్రహృదయుడనియు	దయారద్ద్హృదయుడనియు	దయారద్ద్హృదయుడనియు	0.8858	0	0
గడియారం	గడియారం	గడియారం	0.9855	1	1
స్వయముగా	స్వయముగా	స్వయముగా	0.9981	1	1
శిల్పం	శిల్పం	శిల్పం	0.9751	1	1
నిజముగ	నిజముగ	నిజముగ	0.9855	1	1
వర్ణించు	వర్ణించు	వర్ణించు	0.9999	1	1
నుండెను.	నుండెను.	నుండెను.	0.9874	1	1
కావలసినన్ని	కావలసినన్ని	కావలసినన్ని	0.9725	1	1
కుంపిణీ	కుంపిఁీ.	కుంపిఁీ.	0.9272	0	0
ఝం.	ఝిం.	ఝిం.	0.8233	0	0
సంగ్రహాలను	సంగ్రహాలను	సంగ్రహాలను	0.9886	1	1
శంకర	భంకర	భంకర	0.9690	0	0
రాజ్యాన్ని	రాజ్యాన్ని,	రాజ్యాన్ని,	0.9426	0	0
ప్రజలెవ్వరు	పజలెవ్వరు	పజలెవ్వరు	0.9749	0	0
మిగులునట్టిది	మిగులునట్టిది	మిగులునట్టిది	0.9938	1	1
వెనుతిరిగి	వెనుతిరిగి	వెనుతిరిగి	0.9445	1	1
దీని	దీని	దీని	0.9995	1	1
నా	నా	నా	0.9977	1	1
ఇట్లుండగ	ఇట్లుండగ	ఇట్లుండగ	0.9774	1	1
ఝమ్ క ఝం	ఝుమ్కఝుం	ఝుమ్కఝుం	0.9413	0	0
వెళ్ళాలి.	వెళ్ళాలి.	వెళ్ళాలి.	0.9948	1	1
దాన్ని	దాన్ని	దాన్ని	0.9997	1	1
మా	మా	మా	0.8459	1	1
కొంచెం	కొంచెం	కొంచెం	0.9997	1	1
నిర్మాణము,	నిర్మాణము,	నిర్మాణము,	0.9995	1	1
యిటుపైన	యిటుపైన	యిటుపైన	0.9992	1	1
యిష్టం	యిష్టం	యిష్టం	0.9968	1	1
కనుక	కనుక	కనుక	0.9992	1	1
వారిలో	వారిలో	వారిలో	0.9991	1	1
చుండఁ	చుండఁ	చుండఁ	0.9988	1	1
నుండి	నుండి	నుండి	0.9992	1	1
అన్నింటితో	అన్నింటితో	అన్నింటితో	0.9772	1	1
అరబ్బీ	అరబ్బీ	అరబ్బీ	0.9995	1	1
మాట్లాడాడు	మాట్లాడాడు	మాట్లాడాడు	0.9975	1	1
చిన్నరి	చిన్నరి	చిన్నరి	0.9994	1	1
తిరుగుతారు.	తిరుగుతారు.	తిరుగుతారు.	0.9614	1	1
పెట్టీ	పెట్టి	పెట్టి	0.9813	0	0
పిల్లచుట్టూ	పిల్లచుట్టూ	పిల్లచుట్టూ	0.9835	1	1
డచ్చి	డుచ్చి,	డుచ్చి,	0.9941	0	0
ఎవరి	ఎవరి	ఎవరి	0.9995	1	1
ఆకాశమనే	ఆకాశమనే	ఆకాశమనే	0.9989	1	1
కానీ,	కాని,	కాని,	0.9943	0	0
ధ్యానం	ధ్యానం	ధ్యానం	0.9993	1	1
దక్కనులో	దక్కనులో	దక్కనులో	0.9663	1	1
ఊహించటం	ఊహించటం	ఊహించటం	0.9996	1	1
చేసిరి,	చేసిరి.	చేసిరి.	0.9406	0	0
అనంతం	అనంతం	అనంతం	0.9973	1	1
ఢిల్లీపాదుషాయు	భిల్లిఫాదుపాయు	భిల్లిఫాదుపాయు	0.8233	0	0
జోళ్ళకు	జోళ్ళకు	జోళ్ళకు	0.9328	1	1
సంవత్సరములు	సంవత్సరములు	సంవత్సరములు	0.9750	1	1
సురక్షితులై	సురక్షితులై	సురక్షితులై	0.9547	1	1
మెరపు	'మెరపు	'మెరపు	0.9239	0	0
తర్వాత	తర్వాత	తర్వాత	0.9999	1	1
భగవంతుడి	భగవంతుడి	భగవంతుడి	0.9992	1	1
non-stop	non-stop	non-stop	0.9546	1	1
యిందాక	యిందాక	యిందాక	0.9998	1	1
వస్తాడు ?	వస్తాడు?	వస్తాడు?	0.9880	0	0
క్లిష్ట	కిష్ట	కిష్ట	0.9884	0	0
మొత్తం	మొత్తం	మొత్తం	0.9999	1	1
యిల్లుచేరర	యిల్లుచేర.	యిల్లుచేర.	0.9719	0	0
కూడ	కూడ	కూడ	0.9999	1	1
కన్పించుచునే	కన్పించుచునే	కన్పించుచునే	0.9957	1	1
చరిత్రలో	చిత్రలో	చిత్రలో	0.9542	0	0
ఆతడు	ఆతడు	ఆతడు	0.9959	1	1
నిద్రలోని	నిదరలోని	నిదరలోని	0.9786	0	0
పోతోంది	పోతోంది	పోతోంది	0.9997	1	1
తట	తట	తట	0.9988	1	1
ప్రతి	ప్రతి	ప్రతి	0.9388	1	1
రాసారు.	రాసారు.	రాసారు.	0.9982	1	1
చేయుటకై	చేయురనై	చేయును	0.8730	0	0
సింహావలోకనం	సింహావలోకనం	సింహావలోకనం	0.9671	1	1
మూడవది	మూడవది	మూడవది	0.9873	1	1
స్వాతంత్ర్య	స్వాతంత్ర్య	స్వాతంత్ర్య	0.9765	1	1
ఒడలు	ఒడులు	ఒడులు	0.9186	0	0
రెండవసూత్రం	రెండవసూత్రం	రెండవసూత్రం	0.9980	1	1
బాగుండునని	బాగుండునని	బాగుండునని	0.9821	1	1
చేసాం.	చేసాం.	చేసాం.	0.9966	1	1
స్థూలంగాయిలా	స్థూలంగాయిలా	స్థూలంగాయిలా	0.9970	1	1
తిరిగి	తిరిగి	తిరిగి	0.9450	1	1
అటు	అటు	అటు	0.9989	1	1
పూలతోట	పూలతోట	పూలతోట	0.9928	1	1
చెప్పాలట	చెప్పాలట	చెప్పాలట	0.9853	1	1
టనే	టనే	టనే	0.9921	1	1
రిక్షాలాగువారు,	రిక్షాలాగువారు,	రిక్షాలాగువారు,	0.9741	1	1
రాంబాబు	రాంబాబు	రాంబాబు	0.9934	1	1
పెద్దనగారు	పెద్దనగారు	పెద్దనగారు	0.9662	1	1
ప్రొఫెసర్	ప్రొఫెసర్	ప్రొఫెసర్	0.9253	1	1
మే	మే	మే	0.9669	1	1
నిలబడి	నిలబడి	నిలబడి	0.9995	1	1
అన్న	అస్న	అన్న	0.8936	0	1
దిగంబరాయ''.	దిగంబరాయ".	దిగంబరాయ".	0.9770	0	0
మతప్రవర్తకులు,	మతప్రవర్తకులు,	మతప్రవర్తకులు,	0.9979	1	1
యింకొక	యింకొక	యింకొక	0.9925	1	1
యీతనికి	యీతనికి	యీతనికి	0.9989	1	1
సుమారు	సుమారు	సుమారు	0.9888	1	1
కనిపించదు.	కనిపించదు.	కనిపించదు.	0.9991	1	1
నిష్క	నిమర్ా	నిర్వ	0.8008	0	0
ఆగిపోతాయి.	ఆగిపోతాయి.	ఆగిపోతాయి.	0.9790	1	1
మేమియు	మేమియు	మేమియు	0.9982	1	1
స్వరూపం	స్వరూపం	స్వరూపం	0.9839	1	1
అనేటువంటిది	అనేటువంటిది	అనేటువంటిది	0.9995	1	1
ఆబాలునికి	ఆబాలునికి	ఆబాలునికి	0.9919	1	1
చుండెను.	చుండెను.	చుండెను.	0.9846	1	1
జరిగెను.	జరిగెను.	జరిగెను.	0.9628	1	1
ప్రత్యయం	ప్రత్యయం	ప్రత్యయం	0.9970	1	1
పేరు	పేరు	పేరు	0.9312	1	1
మనస్సులో	మనస్సులో	మనస్సులో	0.9800	1	1
పరిస్థితులలో	పరిస్థితులలో	పరిస్థితులలో	0.8829	1	1
ఇటుచూడండి:	ఇటుచూడండి:	ఇటుచూడండి:	0.9950	1	1
మళ్లీ	మళ్లీ	మళ్లీ	0.9994	1	1
జరిగాక	జరిగాక	జరిగాక	0.9997	1	1
వున్నవి –	వున్నవి	వున్నవి	0.9976	0	0
అను	అను	అను	0.9963	1	1
జరిగిపోయెను.	జరిగిపోయెను.	జరిగిపోయెను.	0.9829	1	1
మామిడిపండ్లు	మామిడిపండ్లు-	మామిడిపండ్లు-	0.9525	0	0
తెనాలి	తెనాలి	తెనాలి	0.9710	1	1
సమాధి.	సమాధి.	సమాధి.	0.9950	1	1
నవకింకిణీ	నవకింకిణీ	నవకింకిణీ	0.9312	1	1
దాని	దాని	దాని	0.9997	1	1
నువ్వు	నువ్వు	నువ్వు	0.9420	1	1
చూసామండి	చూసామండి	చూసామండి	0.9997	1	1
తల్లీ	తల్లీ!"	తల్లీ!"	0.9851	0	0
మాత్రము	మాత్రము	మాత్రము	0.9901	1	1
ఫ్యాక్టరీలుండెను	వ్యాట్టరీలుండెను.	వ్యాట్టరీలుండెను.	0.9862	0	0
దీని	దీని	దీని	0.9991	1	1
నియమింపబడెను.	నియమింపబడెను.	నియమింపబడెను.	0.9824	1	1
అలాగే	అలాగే	అలాగే	0.9996	1	1
చామంతులు	చామంతులు	చామంతులు	0.9554	1	1
కాలమున	కాలమున	కాలమున	0.9477	1	1
నజరు	నజరు	నజరు	0.9993	1	1
సహజముగ	సహజమగ	సహజమగ	0.9981	0	0
చూచుచుండగా	చూచుచుండగా	చూచుచుండగా	0.9832	1	1
వానిలో	వానిలో	వానిలో	0.9388	1	1
యెట్లు	యెట్లు	యెట్లు	0.9788	1	1
సుగుణములలో	సుగుణములలో	సుగుణములలో	0.9807	1	1
యిచ్చాడు.	యిచ్చాడు.	యిచ్చాడు.	0.9581	1	1
కేసి	కేసి	కేసి	0.9993	1	1
కూర్చుండ	కూర్చుండ	కూర్చుండ	0.9562	1	1
అంటే	అంటే	అంటే	0.9944	1	1
లేవ లేఁడు.	లేవలేఁడు.	లేవలేఁడు.	0.9876	0	0
కాలు	కాలు	కాలు	0.9858	1	1
మనకడకిక	మనకడకిక	మనకడకిక	0.9995	1	1
ఆశ్చర్యం.	ఆశ్చర్యం.	ఆశ్చర్యం.	0.9784	1	1
నేఁటికిని	నేఁటికిని	నేఁటికిని	0.9990	1	1
తమ	తమ	తమ	0.9814	1	1
తప్ప	తప్ప	తప్ప	0.9999	1	1
పరమ	పరమ	పరమ	0.9995	1	1
రాజ్య	రాజ్య	రాజ్య	0.9871	1	1
చెల్లించిరి.	చెల్లించిరి.	చెల్లించిరి.	0.9707	1	1
ఉండదు.	ఉండదు.	ఉండదు.	0.9992	1	1
ఉలా	ఉాలా	ఉాలా	0.9735	0	0
ఆయువు	ఆయువు	ఆయువు	0.9554	1	1
చే,	చే,	చే,	0.9572	1	1
విద్వన్మాన్యాలై	విద్వన్మాన్యాలై	విద్వన్మాన్యాలై	0.9938	1	1
చేసికొనిరి.	చేసికొనిరి.	చేసికొనిరి.	0.9857	1	1
అయినటువంటి	అయినటువంటి	అయినటువంటి	0.9995	1	1
అంతట	అంతట	అంతట	0.9505	1	1
నెల్లూరు	నెల్లూర్తు	నెల్లూర్తు	0.9858	0	0
పోలేదు.	పోలేదు.	పోలేదు.	0.9974	1	1
మువ్వురకు	మువ్వురకు	మువ్వురకు	0.9831	1	1
చెప్పిరి.	చెప్పిరి.	చెప్పిరి.	0.9933	1	1
బోండాలు,	బోండాలు,	బోండాలు,	0.9692	1	1
యోగము	యోగము	యోగము	0.9658	1	1
కాళహస్తీశ్వర	కాళహస్తీశ్వర	కాళహస్తీశ్వర	0.9994	1	1
ఫ్యాక్టరీని	ఫ్యాట్టరీని	ఫ్యాక్టరీకి	0.8548	0	0
కాల	కాల	కాల	0.9996	1	1
విష్ణుచిత్తుడు.	విష్ణుచిత్తుడు.	విష్ణుచిత్తుడు.	0.9929	1	1
1888-1485):-	(1ళి8ర-1486)..	(1ళి8ర-1486)..	0.7569	0	0
తోచెడిది.	తోచెడిది.	తోచెడిది.	0.9987	1	1
పోక,	పోక,	పోక,	0.9642	1	1
పేరుగాని	పేరుగాని	పేరుగాని	0.9570	1	1
అతడు	ఆతదు	ఆగదు	0.8036	0	0
వంటి	వంటి	వంటి	0.9992	1	1
ఊపిరి	ఊపిరి	ఊపిరి	0.9716	1	1
ఝణా	ఝణా	ఝణా	0.9974	1	1
దీనిమీద	దీనిమీద	దీనిమీద	0.9995	1	1
తెలుగులో	తెలుగులో	తెలుగులో	0.9664	1	1
నొందెను.	నొందెను.	నొందెను.	0.9963	1	1
వస్తే	వస్తే	వస్తే	0.9993	1	1
పాలించిన	ప్రాలించిన	ప్రాలించిన	0.9472	0	0
ప్రజలను	ప్రరజలను	ప్రజలను	0.8783	0	1
నేర్చుకొనిరి.	నేర్చుకొనిం.	నేర్చుకొనిం.	0.9243	0	0
నజరులను,	నజరులను,	నజరులను,	0.9776	1	1
అంటే	అంటే	అంటే	0.9990	1	1
అంటే	అంటే	అంటే	0.9951	1	1
ఉంటావు.	ఉంటావు.	ఉంటావు.	0.9476	1	1
నీ	నీ	నీ	0.9982	1	1
చేసుకుంటూ	చేసుకుంటూ	చేసుకుంటూ	0.9968	1	1
వస్తాడు	వస్తాడు	వస్తాడు	0.9888	1	1
కాఫీ	కాఫీ	కాఫీ	0.9916	1	1
పరుగులు	పరుగులు	పరుగులు	0.9960	1	1
కాలానికి	కాలానికి	కాలానికి	0.9969	1	1
ఉంటాయో,	ఉంటాయో,	ఉంటాయో,	0.9994	1	1
అప్పజెప్పు	అప్పజప్పు	అప్పజప్పు	0.9996	0	0
పిల్లలకు	పిల్లలకు	పిల్లలకు	0.9913	1	1
రాయలు	రాయలు	రాయలు	0.9832	1	1
చోటికి	చోటికి	చోటికి	0.9935	1	1
చేయక	చేయక	చేయక	0.9996	1	1
''ఇడ్డె	"ఇడ్డె	"ఇడ్డె	0.9863	0	0
నే	నే	నే	0.9428	1	1
ఇక్కడ	ఇకండు	ఇండు	0.8292	0	0
నిష్కంపిత	నిష్కంపిత	నిష్కంపిత	0.9947	1	1
ఇంజనీయర్లు,	ఇంజనీయర్లు,	ఇంజనీయర్లు,	0.9991	1	1
తల్లిలో	తల్లిలో	తల్లిలో	0.9790	1	1
మిక్కిలి	మిక్కిలి	మిక్కిలి	0.9553	1	1
స్వరూప	స్వరూప	స్వరూప	0.9868	1	1
ఆ	ఆ	ఆ	0.9971	1	1
అర్థం	అర్థం	అర్థం	0.9844	1	1
''నా	"నా	"నా	0.9980	0	0
అంతట	అంతట	అంతట	0.9990	1	1
దేశభక్తాగ్రగణ్యుడు	దేశభక్షాగ్రగణ్యుడు	దేశభక్షాగ్రగణ్యుడు	0.9642	0	0
అన్నేడమ్మా:''	అన్నేడమ్మా!"	అన్నేడమ్మా!"	0.9562	0	0
తాలూకు	తాలూకు	తాలూకు	0.9977	1	1
నీల	నీల	నీల	0.9966	1	1
పేరు,	పేరు,	పేరు,	0.9911	1	1
కనిపెడుతున్నాడు	కనిపెడుతున్నాడు	కనిపెడుతున్నాడు	0.9995	1	1
ఉద్ధరించి	ఉద్ధరించి	ఉద్ధరించి	0.9857	1	1
ఏ	ఏ	ఏ	0.9968	1	1
గవర్నర్	గవర్నర్	గవర్నర్	0.9704	1	1
చిట్లేను	చిట్లెను	చిట్లెను	0.9644	0	0
గడియారం	గడియారం	గడియారం	0.9997	1	1
పరిపూర్ణంగా	పరిపూర్ణంగా	పరిపూర్ణంగా	0.9982	1	1
చేసాం.	చేసాం.	చేసాం.	0.9919	1	1
నున్న	నున్న	నున్న	0.9861	1	1
కాలము	కాలము	కాలము	0.9994	1	1
లనబడు	లనబడు	లనబడు	0.9243	1	1
మాష్టరుగా	మాష్టరుగా	మాష్టరుగా	0.9889	1	1
ఆకారంలో	ఆకారంలో	ఆకారంలో	0.9985	1	1
పలు తెఱం	పలుతెఱఁ	పలుతెఱఁ	0.9862	0	0
అని	అని	అని	0.9996	1	1
దీర్ఘ	దీర్ఘ	దీర్ఘ	0.9924	1	1
చేసికొనుచున్నంత	చేసికొనుచున్నంత	చేసికొనుచున్నంత	0.9991	1	1
వాళ్ళ	వాళ్ళ	వాళ్ళ	0.9977	1	1
శిల్పం	శిల్పం	శిల్పం	0.9947	1	1
చిక్కెను.	చక్కెను.	చక్కెను.	0.9945	0	0
యెక్కువ	యెక్కువ	యెక్కువ	0.9296	1	1
అదీ	అదీ	అదీ	0.9993	1	1
కాలంలో	కాలంలో	కాలంలో	0.9997	1	1
రాసాడనిపిస్తుంది.	రాసాడనిపిస్తుంది.	రాసాడనిపిస్తుంది.	0.9873	1	1
చేతులపై	చేతులపై	చేతులపై	0.9989	1	1
తన	చన	చన	0.6131	0	0
ఫలములు;	ఫలములు;	ఫలములు;	0.9986	1	1
వర్తకమున	వరతకమున	వరతకమున	0.9747	0	0
లేకుండా	లేకుండా	లేకుండా	0.9890	1	1
నెట్లయిన	నెట్లయిన	నెట్లయిన	0.9508	1	1
తమకేమియు	తమకీమియు	తమకీమియు	0.9851	0	0
బాలకృష్ణుడనే	బాలకృష్ణుడనే	బాలకృష్ణుడనే	0.9873	1	1
కుంచుకున్న	కుంచుకున్న	కుంచుకున్న	0.9998	1	1
వచ్చిరి.	వచ్చిరి,	వచ్చిరి,	0.9150	0	0
చేతులు	చేతులు	చేతులు	0.9996	1	1
చూడనిదుర్ఘటనలు	చూడనిదుర్ఘుటనలు	చూడనిదుర్ఘుటనలు	0.9492	0	0
ఏరుకొనా -	ఏరుకొనా-	ఏరుకొనా-	0.9696	0	0
పూచాయమ్మా	పూచాయమ్మా	పూచాయమ్మా	0.9937	1	1
ణార్థం	ణార్మం	ణార్మం	0.9913	0	0
చెందిన	చెందిన	చెందిన	0.9175	1	1
రెపరెప	రెపరెప	రెపరెప	0.9870	1	1
పడితే	పడితే	పడితే	0.9997	1	1
క్రమ్మెను.	క్రమ్మెను.	క్రమ్మెను.	0.9435	1	1
గాని	గాని	గాని	0.9451	1	1
వాళ్ళే	వాళ్ళే	వాళ్ళే	0.9859	1	1
జరుపుకున్నాడు.	జరుపుకున్నాడు.	జరుపుకున్నాడు.	0.9817	1	1
చేయగా	చేయగా	చేయగా	0.9995	1	1
తెలుగుదేశంలో	తెలుగుదేశంలో	తెలుగుదేశంలో	0.9760	1	1
సంరంభ	సంరంభ	సంరంభ	0.9854	1	1
దిగుమతుల	దిగుమతుల	దిగుమతుల	0.9955	1	1
అన్నాడు.	అన్నాడు.	అన్నాడు.	0.9987	1	1
మూతి	మూతి	మూతి	0.9942	1	1
కనిపించిన	కనిపించిన	కనిపించిన	0.9977	1	1
గృహిం	గహిం	గహిం	0.9993	0	0
తరించగలరు.	తరించగలరు.	తరించగలరు.	0.9989	1	1
ఆకారం	ఆకారం	ఆకారం	0.9988	1	1
తర్వాత	తర్వాత	తర్వాత	0.9999	1	1
